Square_Footage,Bedrooms,Bathrooms,Age,Garage_Spaces,Lot_Size,Floors,Neighborhood_Rating,Condition,School_Rating,Has_Pool,Renovated,Location_Type,Distance_To_Center_KM,Days_On_Market,Price,Sold_Within_Week
1440,5,2.5,42,2,12248,2,1,2,6,1,1,Suburban,28.05,1,583000,1
2602,3,2.5,0,2,5899,3,10,10,6,0,0,Urban,12.32,4,1160000,1
3320,4,1.5,48,3,8477,2,6,2,2,0,1,Suburban,37.43,26,835000,0
2769,3,1.5,46,2,9500,2,6,5,8,1,0,Suburban,27.07,69,821000,0
2998,2,1,37,1,3016,2,6,4,5,0,0,Urban,40.64,78,585000,0
2238,3,2.5,23,1,8470,3,6,8,5,0,1,Downtown,39.26,145,705000,0
4169,4,3,46,2,4062,2,10,4,2,1,1,Downtown,11.54,32,1081000,0
2434,3,2,30,1,11030,1,7,6,4,0,1,Rural,36.07,7,818000,1
1062,4,1.5,40,2,11829,1,10,5,9,0,0,Rural,40.2,134,585000,0
2587,5,2.5,45,3,6321,1,6,2,9,0,0,Urban,17.96,1,816000,1
2991,4,3,49,1,5496,2,1,8,6,1,0,Downtown,9.46,160,727000,0
3193,4,2.5,25,2,3813,2,3,2,9,1,0,Suburban,1.13,2,807000,1
1423,4,3,48,2,13671,2,2,9,4,0,1,Urban,23.09,118,569000,0
1816,6,2,49,2,8256,1,6,9,1,0,0,Rural,18.27,6,614000,1
4443,4,1.5,4,1,11643,2,8,3,2,1,1,Urban,28.19,83,1081000,0
1680,4,3,19,2,4313,2,3,4,1,0,0,Suburban,10.21,77,435000,0
2849,6,2.5,40,0,11706,1,10,8,8,0,0,Urban,43.12,145,889000,0
3744,5,2,10,3,3231,2,8,9,9,1,0,Suburban,13.63,73,1081000,0
2127,2,2.5,32,0,11837,2,8,3,10,1,0,Suburban,12.1,127,714000,0
3101,3,3,49,2,7831,2,5,5,6,1,0,Suburban,24.55,4,849000,1
1252,3,2.5,37,,4999,2,8,8,2,0,1,Urban,25.44,7,643000,1
3908,2,2.5,26,3,5440,2,6,3,6,0,0,Suburban,11.54,146,963000,0
1983,4,2,33,1,6056,2,5,7,9,0,1,Suburban,14.32,1,764000,1
3862,4,2,14,1,2305,2,9,8,3,0,0,Urban,9.32,3,1082000,1
2856,4,2,31,0,13728,2,7,10,9,0,1,Downtown,36.2,6,879000,1
4104,2,3,20,1,11915,1,8,3,2,1,0,Suburban,38.73,55,943000,0
3970,5,3,45,1,3689,2,1,2,5,0,1,Rural,23.65,122,824000,0
2482,4,3,4,2,11709,1,2,10,2,1,0,Urban,35.99,94,783000,0
3663,4,1,5,,5917,1,8,7,7,0,1,Suburban,37.06,14,1137000,0
3055,5,2.5,37,0,9080,2,9,9,10,0,1,Urban,7.78,84,1120000,0
1954,4,3,21,2,10611,2,4,1,9,0,0,Suburban,48.34,152,581000,0
1203,3,2.5,17,1,,2,10,3,7,0,0,Urban,41.23,7,593000,1
2999,4,3,13,1,5862,1,10,5,,0,0,Suburban,11.02,161,981000,0
2901,3,3,9,1,14421,1,9,3,4,1,1,Suburban,10.12,3,1053000,1
3991,1,2,45,3,11642,1,4,1,4,1,0,Urban,7.16,2,955000,1
2496,4,2,12,1,13288,1,10,7,10,0,0,Suburban,7.78,157,928000,0
1427,3,1.5,30,3,7649,2,10,7,8,0,0,Downtown,37.66,148,618000,0
1386,4,2,29,2,5261,1,10,10,10,1,0,Urban,24.01,132,694000,0
2448,3,2.5,2,0,11356,2,9,8,10,0,1,Suburban,39.36,19,926000,0
2243,5,3,29,3,12061,1,7,5,10,0,0,Suburban,37.57,5,834000,1
2245,3,1.5,5,1,3819,3,2,10,10,0,1,Suburban,30.63,7,628000,1
903,6,1.5,28,0,12897,1,9,5,10,1,1,Rural,34.63,168,669000,0
1053,4,2.5,7,2,13707,1,4,5,1,0,0,Downtown,1.9,126,550000,0
4098,2,1,43,2,3342,1,8,1,5,0,1,Suburban,16.28,149,821000,0
3983,4,1.5,44,2,7560,2,7,10,2,1,0,Suburban,32.25,118,1123000,0
3357,6,1,42,1,4226,2,7,5,9,0,1,Suburban,1.46,2,904000,1
2296,3,1.5,43,2,3079,2,8,6,7,0,0,Suburban,2.62,4,835000,1
898,2,1.5,32,2,6206,2,1,1,10,0,1,Suburban,42.74,4,320000,1
3000,3,2,16,1,8280,1,5,7,8,1,0,Downtown,34.52,122,746000,0
2684,3,2,47,1,14755,2,2,1,6,0,0,Rural,14,46,591000,0
3761,4,3,10,0,12971,2,2,2,9,1,0,Urban,34.71,8,874000,0
2719,4,2,12,1,12720,1,1,2,6,0,0,Urban,39.83,3,601000,1
1677,3,2.5,49,3,9235,1,5,5,7,0,1,Downtown,16.03,2,606000,1
1137,3,1.5,10,2,,1,2,10,7,1,0,Urban,2.77,,543000,1
3669,4,1.5,30,3,7089,1,4,7,9,0,1,Suburban,46.71,6,903000,1
4034,3,2.5,27,1,4031,2,3,1,8,0,0,Urban,17.91,4,835000,1
1756,2,1,43,2,10514,1,3,10,1,0,1,Urban,6.22,5,460000,1
2504,5,2,5,1,13161,1,2,1,4,0,0,Urban,25.1,2,660000,1
960,4,2.5,40,1,11095,1,6,1,7,0,0,Suburban,38.65,78,438000,0
2403,4,2.5,15,1,11733,3,2,6,,0,0,Urban,11.86,144,829000,0
3648,4,1,3,1,7911,2,8,2,7,0,1,Suburban,14.21,106,902000,0
1197,3,2,34,2,13695,1,8,1,3,1,0,Suburban,12.89,4,473000,1
2100,4,2.5,47,3,4653,1,5,6,4,0,1,Suburban,49.59,5,669000,1
1615,3,1.5,25,2,12668,1,10,2,7,1,1,Suburban,10.67,94,793000,0
2327,2,2.5,11,1,5340,2,7,6,8,0,0,Suburban,29.2,161,665000,0
2719,3,2.5,10,0,9876,1,4,10,7,0,1,Suburban,46.34,2,654000,1
2215,3,4,36,1,14435,2,1,8,6,0,0,Suburban,8.2,7,736000,1
1958,4,1.5,24,2,3141,2,2,2,9,0,0,Suburban,48.57,3,588000,1
2018,2,3,17,2,11041,2,10,9,9,0,1,Downtown,47.43,81,648000,0
1200,2,2,18,3,10558,1,10,8,7,1,1,Suburban,44.34,72,707000,0
1439,3,2,22,0,4897,2,4,10,8,1,1,Suburban,11.51,76,728000,0
3904,3,1.5,37,2,11281,2,1,1,6,1,0,Suburban,32.07,1,767000,1
3535,4,2.5,17,2,6041,1,8,7,1,0,0,Suburban,38.28,6,875000,1
1259,3,1.5,25,2,,1,9,10,1,1,0,Urban,49.32,65,591000,0
1754,4,2,5,2,13052,1,4,6,6,0,1,Suburban,9.84,4,611000,1
1269,3,1,3,2,6270,1,10,6,2,0,0,Rural,38.54,98,512000,0
4246,4,3,43,2,12046,1,3,6,8,1,1,Suburban,17.6,2,1138000,1
1845,4,3,50,1,6683,2,2,6,1,0,0,Rural,9.61,125,399000,0
3597,3,2.5,28,2,2494,2,5,10,2,0,0,Suburban,21.65,64,896000,0
2493,4,2,33,1,9116,3,3,7,8,0,0,Suburban,39.9,93,749000,0
2885,3,1.5,16,2,13374,1,10,3,6,0,0,Downtown,23.78,25,768000,0
3077,3,2.5,42,2,3784,3,7,6,10,1,0,Suburban,27.34,23,817000,0
4236,6,2,42,2,5510,1,6,3,2,0,1,Rural,49.76,2,1060000,1
1362,2,1.5,15,3,5786,2,1,7,2,1,1,Rural,20.56,7,531000,1
3285,2,2.5,1,3,7266,1,8,7,7,0,0,Downtown,31.15,180,898000,0
2599,4,4,33,2,14322,1,2,8,5,0,0,Urban,18.9,87,813000,0
4154,2,2.5,7,2,11190,2,5,2,5,0,0,Urban,20.25,5,1080000,1
2874,4,2.5,12,2,7428,1,9,9,8,0,1,Rural,35.09,5,995000,1
1025,3,3.5,41,2,8681,2,8,5,7,0,0,Suburban,46.96,166,502000,0
4148,5,1.5,7,3,8893,2,2,9,9,1,1,Suburban,27.58,7,1044000,1
1597,4,2.5,29,2,14661,2,9,10,4,1,0,Urban,38.65,80,805000,0
4480,4,4,31,3,11643,2,5,5,10,1,0,Urban,5.37,1,1144000,1
3131,5,1.5,35,3,11943,2,10,7,4,1,1,Suburban,11.35,3,1166000,1
3726,3,2.5,46,,12472,1,6,9,2,1,0,Urban,25.6,6,803000,1
1759,6,2.5,29,1,14992,2,3,4,3,0,0,Urban,1.98,91,512000,0
2304,2,2.5,0,1,6658,2,3,2,1,1,0,Urban,13.39,2,625000,1
1252,3,2.5,42,3,9082,1,10,9,1,0,0,Urban,26.35,,610000,0
3867,3,3.5,38,1,13126,1,8,2,7,0,0,Rural,1.73,123,923000,0
1615,3,3,16,3,8869,2,10,3,5,0,1,Suburban,13.96,97,634000,0
1458,2,1,19,2,13926,2,10,10,3,0,1,Urban,26.19,2,751000,1
4387,4,3,23,2,9607,2,2,2,7,0,0,Urban,29.08,31,930000,0
1346,4,1.5,49,3,9669,1,2,3,2,1,1,Suburban,46.36,4,473000,1
2015,6,2,21,2,13538,2,5,6,3,0,0,Suburban,32.62,5,704000,1
3920,2,2,28,2,12065,1,6,3,1,0,0,Rural,21.32,6,870000,1
4383,4,2,21,2,8219,2,2,10,8,0,0,Rural,46.59,164,1105000,0
816,3,2,43,1,6534,2,5,8,2,0,0,Rural,39.46,171,340000,0
4043,3,3.5,8,2,13995,1,7,6,7,0,0,Suburban,10.8,78,1145000,0
2043,3,2.5,36,,7979,2,10,7,9,0,1,Suburban,7.41,133,693000,0
3005,3,2.5,9,3,12171,3,10,1,6,0,0,Suburban,34.11,152,872000,0
3324,4,1,35,3,10890,2,8,3,2,0,0,Urban,28.43,159,773000,0
1869,4,3.5,36,1,3312,2,7,3,2,1,0,Urban,39.69,126,659000,0
4244,3,3.5,27,2,4962,2,8,2,9,1,1,Urban,37.2,98,1091000,0
3365,2,3,27,2,4938,2,9,7,10,0,1,Suburban,31.64,7,997000,1
2946,2,1,41,1,14979,1,5,9,8,0,0,Urban,49.33,115,678000,0
2568,1,1,42,3,12492,1,5,4,9,0,0,Urban,27.15,5,676000,1
1860,6,1.5,20,0,5197,1,10,5,4,1,0,Suburban,6.54,,701000,1
3127,1,1.5,23,1,7296,2,4,3,4,0,0,Downtown,41.59,2,700000,1
4220,2,2,41,2,9204,2,9,9,2,0,0,Urban,13.34,7,954000,1
3344,3,3.5,39,2,7730,1,5,4,10,1,0,Suburban,39.09,2,980000,1
1101,4,2,1,2,2126,2,2,5,1,0,0,Urban,47.9,5,323000,1
980,6,1,7,2,7602,2,10,1,10,0,0,Downtown,35.14,7,599000,1
1406,4,2,47,2,3191,2,8,2,4,0,0,Urban,30.21,123,621000,0
3970,4,1,26,,4639,1,7,9,10,1,1,Rural,23.56,7,1046000,1
1499,3,1,21,0,14581,2,8,2,10,1,1,Urban,18.86,15,607000,0
1792,2,2,36,1,14108,1,3,5,8,1,0,Rural,18.3,1,593000,1
1939,6,2,26,,3366,1,4,8,,0,0,Urban,32.18,119,554000,0
990,4,3,28,1,11211,3,5,3,8,0,0,Urban,37.81,1,463000,1
3100,4,4,2,2,8453,1,6,6,,1,0,Urban,34.25,62,789000,0
1780,4,2,43,1,8671,1,1,4,1,1,1,Urban,10.72,7,628000,1
3775,4,2,12,1,8683,2,4,7,4,0,0,Rural,25.21,95,880000,0
2806,4,3,44,1,14271,1,10,10,7,1,1,Suburban,39.79,17,798000,0
1984,6,2,9,3,14706,2,5,3,9,0,1,Suburban,24.31,2,913000,1
4127,5,1.5,35,3,6539,1,7,6,5,0,0,Downtown,27.29,41,1077000,0
4194,4,3,8,2,10876,1,5,10,2,0,0,Suburban,38.79,171,946000,0
927,4,1,26,3,13821,1,1,9,7,0,0,Downtown,33.4,68,411000,0
2865,2,2.5,33,2,4887,1,7,10,2,1,0,Urban,21.06,6,880000,1
2616,4,2.5,50,2,11654,2,8,1,9,0,0,Downtown,44.88,6,754000,1
2558,1,2,0,0,6086,2,7,3,9,0,0,Urban,8.97,1,606000,1
3413,4,2,31,2,4261,2,4,2,3,1,1,Suburban,49.78,5,943000,1
1369,6,3,24,2,6180,3,8,8,8,1,0,Suburban,6.82,93,749000,0
2146,4,1,28,2,4841,1,5,7,4,0,0,Suburban,1.73,39,755000,0
2695,3,1.5,6,2,11959,2,10,2,3,0,1,Suburban,44.61,7,978000,1
3533,3,2.5,48,2,14372,2,9,6,,0,1,Suburban,13,90,886000,0
1425,2,2,2,2,8040,3,10,3,5,0,0,Downtown,36.76,4,743000,1
4159,4,1.5,19,,5560,1,5,8,4,1,1,Downtown,40.74,170,970000,0
3701,2,3,19,1,12304,2,1,10,1,1,0,Downtown,43.09,5,674000,1
2486,2,2,29,2,6758,2,9,3,,0,0,Downtown,49.59,4,740000,1
3809,3,3,34,2,2626,1,5,10,8,0,0,Rural,15.41,19,981000,0
954,4,3,34,2,14351,2,6,9,8,0,0,Downtown,35.8,92,570000,0
3337,4,2.5,48,2,13606,1,4,1,8,1,1,Rural,6.65,130,847000,0
2209,2,2,38,0,7014,2,6,5,3,0,1,Suburban,20.93,6,698000,1
1584,3,4,26,2,3375,3,8,3,6,0,1,Rural,42.55,90,666000,0
3975,3,1.5,25,1,3181,2,3,6,7,0,0,Downtown,19.02,,787000,1
4264,4,2.5,13,2,7708,2,5,10,9,0,0,Suburban,29.96,2,1162000,1
1045,4,1.5,16,2,2490,1,2,2,5,0,0,Suburban,25.68,43,370000,0
4047,3,2,17,2,5729,3,2,9,9,0,0,Urban,32.65,61,706000,0
3910,4,2,44,1,7974,2,7,6,6,1,1,Rural,48.67,54,1036000,0
2300,3,3.5,28,2,5534,1,10,7,10,1,1,Downtown,3.73,122,971000,0
2505,5,3.5,19,1,5296,2,10,5,10,1,0,Suburban,29.12,1,928000,1
3606,3,1.5,26,3,3940,2,10,9,10,0,0,Urban,43.29,131,1145000,0
1337,3,1,17,3,14600,1,6,1,4,0,0,Suburban,24.59,6,511000,1
2690,3,2.5,3,3,7014,1,4,5,1,0,0,Suburban,4.85,3,762000,1
2641,4,2,0,2,3882,1,5,10,1,0,0,Suburban,28.47,103,640000,0
1720,4,1,49,2,6908,2,1,6,10,1,0,Suburban,17.27,7,566000,1
3255,3,2.5,0,1,4987,2,7,7,5,0,0,Downtown,8.59,127,1093000,0
1324,4,2,25,1,,2,8,4,3,0,0,Suburban,42.6,108,499000,0
3675,4,4,44,2,5159,2,9,1,5,1,0,Suburban,26.56,5,899000,1
2329,3,1.5,19,2,14967,2,8,8,5,1,0,Downtown,46.73,173,778000,0
3750,3,2,22,3,6530,2,5,10,1,0,1,Suburban,40.49,1,956000,1
835,5,2,9,1,2681,1,3,4,8,0,0,Urban,34.96,39,360000,0
1484,3,3,10,3,7254,2,10,3,5,0,1,Suburban,1.25,6,796000,1
819,3,2,40,2,3073,2,9,7,5,0,0,Suburban,21.96,18,575000,0
3168,6,2.5,40,2,4387,2,6,2,9,0,0,Rural,10.68,155,904000,0
3359,1,1.5,4,1,12586,2,5,8,8,0,0,Downtown,45.63,44,714000,0
1199,2,3,0,0,4693,1,3,6,1,1,0,Suburban,9.55,2,498000,1
3501,3,2,16,2,11562,3,6,7,3,0,1,Urban,15.02,3,1063000,1
1771,5,1.5,21,2,14936,1,3,5,7,0,0,Urban,26.33,2,662000,1
2706,2,2.5,33,1,6340,2,10,9,1,0,1,Suburban,13.9,2,894000,1
3318,1,1.5,44,2,4156,1,6,5,1,0,1,Rural,11.28,1,784000,1
1966,2,1,40,3,9966,3,4,5,5,1,0,Suburban,30.36,5,691000,1
1915,2,3,28,2,4580,1,2,3,9,0,0,Suburban,5.36,5,639000,1
4225,1,2,3,3,9257,1,8,1,6,0,1,Downtown,3.85,95,971000,0
1633,3,2.5,4,1,14583,1,4,2,10,0,0,Downtown,19.24,4,668000,1
2623,4,2,10,1,4159,1,9,8,2,1,1,Urban,36.31,18,860000,0
3574,3,3,50,2,13440,1,7,1,9,0,0,Rural,28.19,165,882000,0
2782,3,1.5,20,2,13923,2,2,7,6,1,0,Suburban,21.72,6,653000,1
1653,2,2,34,0,14021,2,4,5,5,0,0,Urban,28.72,10,498000,0
850,3,4,11,1,8772,1,5,3,5,0,0,Suburban,18.91,5,413000,1
1374,3,3,25,2,3627,1,3,7,3,0,1,Urban,46.87,6,453000,1
4061,4,2,50,1,13664,2,9,9,6,1,0,Urban,3.69,6,1007000,1
1948,1,2,18,1,10219,2,5,2,4,1,1,Suburban,34,6,586000,1
2997,3,3,44,1,9080,2,2,8,10,0,0,Suburban,44.67,6,696000,1
3161,3,2,6,0,3985,2,3,9,2,0,0,Suburban,40.39,1,732000,1
3417,5,3,46,2,14345,1,9,3,3,0,0,Suburban,10.02,96,797000,0
4213,4,3,6,2,11713,1,7,2,9,0,0,Urban,15.5,5,927000,1
3152,4,1,25,2,10488,1,2,7,9,0,0,Suburban,36.14,6,798000,1
2515,3,1.5,39,1,4181,2,9,5,6,1,0,Suburban,5.13,115,741000,0
1481,5,2.5,4,1,13594,3,4,5,10,1,1,Suburban,40.78,159,784000,0
1637,1,1.5,20,2,4296,2,9,10,10,0,0,Downtown,36.23,3,725000,1
1877,2,2,13,2,9164,1,2,5,9,0,0,Suburban,36.75,1,586000,1
3850,3,3.5,3,2,4597,1,10,4,4,1,1,Suburban,5.91,6,1277000,1
3291,2,2.5,22,1,2901,1,4,5,5,1,1,Suburban,36.17,46,765000,0
3460,6,3,41,3,8060,2,5,4,10,0,0,Rural,34.31,5,871000,1
3840,4,2.5,19,1,11290,1,2,6,6,0,0,Rural,41.72,6,919000,1
3111,3,2.5,14,2,3677,3,10,4,9,0,1,Urban,3.04,72,1065000,0
3924,4,1,49,2,4881,1,1,2,5,0,0,Suburban,2.13,69,735000,0
2395,6,2,44,2,7622,3,7,9,8,0,0,Urban,19.28,9,957000,0
3851,5,2,28,1,10052,2,10,2,,0,0,Downtown,8.29,141,983000,0
4491,4,2,7,2,3378,2,1,9,5,0,1,Suburban,28.36,129,994000,0
804,5,3,40,2,3248,2,8,10,10,0,0,Rural,45.95,82,593000,0
1926,6,2,47,1,13927,2,3,6,1,0,1,Suburban,20.18,178,548000,0
2019,4,2,18,1,7650,2,10,9,10,0,0,Suburban,42.4,47,832000,0
1573,2,2,47,1,,2,6,9,6,1,1,Downtown,1.01,7,790000,1
1676,3,1,38,2,8079,2,7,3,7,1,0,Rural,9.26,174,677000,0
1791,4,2,45,0,11456,3,10,1,5,0,0,Urban,2.49,35,687000,0
3731,3,1.5,27,3,12099,2,1,1,1,0,1,Suburban,17.08,5,776000,1
4221,4,1.5,45,2,9036,2,6,3,6,1,0,Suburban,45.5,70,1009000,0
846,2,1,26,3,8487,2,7,5,10,0,0,Suburban,5.75,147,604000,0
3714,1,2,3,3,3058,1,6,3,5,0,0,Suburban,30.71,48,924000,0
3670,3,3,14,2,12941,1,4,9,6,0,0,Suburban,23.12,,914000,0
3783,1,2,34,1,4048,2,1,9,10,0,0,Suburban,46.98,30,799000,0
3503,6,2,36,1,8115,2,9,3,7,0,1,Urban,7,6,1058000,1
1068,4,2.5,0,1,6248,2,4,3,7,1,0,Suburban,11.39,4,487000,1
1169,4,1.5,2,2,4476,2,7,5,2,0,0,Urban,2.45,4,591000,1
1435,4,3,46,1,14208,2,7,2,3,0,0,Urban,22.26,112,439000,0
1929,3,2,23,1,6603,2,2,6,6,1,1,Suburban,14.61,,645000,0
2493,3,2,26,2,13389,1,1,7,3,0,1,Urban,43.63,3,673000,1
2482,4,2.5,39,3,14778,2,8,9,2,0,0,Suburban,30.64,157,906000,0
1456,3,1.5,35,1,,2,8,6,4,0,0,Suburban,31.09,145,545000,0
919,3,2.5,33,0,14632,1,7,3,5,0,1,Suburban,27.06,142,515000,0
1630,3,2,28,,11953,2,8,5,10,0,0,Suburban,5.5,3,783000,1
2610,3,3,23,3,2220,2,3,4,9,0,1,Suburban,22.81,22,837000,0
4475,6,1.5,23,2,6818,1,2,5,3,0,1,Urban,49.98,84,935000,0
1881,5,2,41,1,9192,1,7,8,3,0,1,Rural,41.93,113,677000,0
2774,3,2.5,3,1,6623,3,8,8,6,0,0,Downtown,44.78,97,964000,0
2169,4,1,2,1,9349,1,1,6,5,0,1,Urban,41.34,2,501000,1
1540,4,2,33,1,7618,1,10,1,6,0,1,Suburban,6.05,7,649000,1
4345,1,2.5,48,3,13080,1,9,8,7,0,0,Suburban,12.14,115,1263000,0
916,5,3,22,2,11856,2,4,8,3,0,0,Urban,1.15,6,601000,1
2653,5,2,22,2,,2,4,2,5,1,0,Suburban,15.87,4,787000,1
3638,3,3,44,3,14178,2,3,4,8,0,0,Suburban,6.32,1,760000,1
1950,3,3.5,4,1,6576,1,6,2,4,0,0,Urban,24.17,3,616000,1
4264,3,3,30,2,13169,2,1,4,10,1,0,Downtown,34.18,84,901000,0
2731,3,1.5,40,3,3871,1,6,10,2,0,0,Suburban,43.85,7,753000,1
1812,1,2.5,5,1,9915,1,2,7,4,0,0,Suburban,37.71,7,467000,1
2464,5,2,36,2,3462,2,9,9,2,1,0,Rural,46.99,174,737000,0
1881,1,4,9,1,7521,1,2,8,3,1,1,Urban,3.64,174,492000,0
1433,3,2,39,1,10536,2,7,9,4,0,1,Suburban,1.6,7,733000,1
1312,5,1.5,6,,10236,3,1,8,4,0,0,Suburban,33.41,37,481000,0
3649,4,2.5,38,2,9813,1,7,2,10,0,0,Suburban,15.18,112,959000,0
1919,3,2,37,2,,2,5,7,9,1,0,Suburban,13.42,,680000,1
1941,3,4,20,3,7753,2,8,2,10,0,1,Urban,17.21,160,711000,0
1359,1,4,19,2,9237,3,4,2,6,0,1,Urban,14.22,20,484000,0
4472,4,2.5,2,3,9016,1,10,4,9,1,1,Urban,26.06,135,1150000,0
1287,1,1.5,50,2,8191,2,7,1,4,0,0,Downtown,22.57,177,423000,0
4108,3,2.5,21,1,3514,1,6,5,9,1,1,Urban,26.11,7,1061000,1
1696,6,1,46,2,4598,2,5,6,9,0,0,Urban,33.96,5,555000,1
4143,2,1,3,1,3001,1,4,9,6,0,1,Downtown,19.97,87,1124000,0
2012,5,3,27,2,,2,7,10,5,0,0,Suburban,13.31,5,837000,1
1503,6,1.5,11,3,12232,1,5,8,3,1,1,Suburban,9.14,4,798000,1
2270,2,2,37,1,8899,1,5,2,5,0,0,Urban,18.12,7,578000,1
1380,5,4,50,2,10465,2,1,1,3,0,1,Suburban,37.35,39,494000,0
3637,3,2,35,2,7051,2,2,2,5,0,1,Urban,38.08,156,752000,0
3708,5,2,46,2,12839,2,5,7,5,1,0,Suburban,33.68,1,954000,1
3094,4,3.5,40,1,11971,2,3,4,2,1,0,Downtown,12.47,34,783000,0
3947,4,1.5,4,1,6476,1,2,10,9,0,1,Suburban,29.82,158,1021000,0
953,3,3,12,0,2478,2,4,5,7,0,0,Urban,28.96,2,452000,1
2479,5,4,22,1,2515,2,4,7,6,1,0,Suburban,24.73,3,717000,1
4306,4,3.5,49,0,14478,1,4,3,5,0,0,Suburban,27.95,4,856000,1
1796,3,2.5,29,2,3191,2,4,10,4,0,0,Suburban,25.1,73,632000,0
3957,5,2,36,1,12860,2,3,2,8,0,0,Suburban,28.71,140,946000,0
3544,3,2,24,3,8297,2,7,7,2,1,0,Suburban,36.06,144,918000,0
4156,2,3,47,2,11603,2,9,5,8,0,0,Suburban,6.37,155,908000,0
2043,2,3,26,2,13472,2,5,1,1,0,0,Downtown,37.73,117,564000,0
1892,3,2,50,2,2271,1,4,1,10,0,1,Rural,7.66,1,591000,1
3918,3,1.5,13,2,10334,1,2,9,1,0,1,Urban,4.26,4,1076000,1
1808,5,1.5,47,3,9778,2,2,5,3,0,1,Suburban,48.83,,473000,1
2941,2,1,46,0,8008,1,5,1,5,0,0,Urban,47.89,79,571000,0
2573,4,2.5,35,1,9987,1,7,7,6,0,1,Rural,3.96,105,795000,0
1757,2,2,38,2,,2,10,9,4,0,0,Urban,22.72,80,802000,0
3859,5,3.5,15,0,2787,2,10,1,7,0,0,Suburban,10.13,78,1020000,0
1252,6,2.5,21,0,8222,1,9,10,7,1,1,Rural,24.78,37,685000,0
2027,3,1.5,20,1,11873,2,7,4,2,1,1,Urban,41.68,132,740000,0
3759,5,2.5,20,0,2622,2,5,3,2,1,1,Rural,47.58,23,835000,0
3065,1,2,7,2,5841,1,10,5,2,0,1,Suburban,32.08,140,778000,0
3321,4,2.5,48,1,,2,10,7,2,0,0,Suburban,18.34,2,831000,1
3279,3,2.5,15,3,4572,2,10,8,9,0,0,Suburban,30.56,54,1207000,0
3188,5,3,30,2,8915,2,6,2,5,1,1,Downtown,16.29,108,953000,0
1350,1,3,41,2,7033,2,3,7,8,1,0,Urban,45.58,114,501000,0
2435,4,2,9,2,9788,1,5,1,,1,0,Suburban,43.65,133,688000,0
2112,4,1,31,3,13452,2,8,7,5,0,1,Suburban,28.35,29,835000,0
4125,3,2.5,33,1,7214,1,1,8,1,0,1,Downtown,16.92,90,865000,0
2557,2,1.5,8,3,6712,3,1,2,6,0,0,Suburban,15.38,,654000,1
1156,2,2,16,2,2066,2,7,9,4,0,1,Suburban,2.64,3,615000,1
2870,3,1,10,2,14478,2,5,1,,0,1,Downtown,40.98,65,829000,0
2585,4,2.5,31,2,9533,1,5,6,6,1,1,Rural,23.07,5,811000,1
3369,2,1.5,9,1,6616,1,1,1,2,0,0,Suburban,16.93,169,579000,0
2581,3,2.5,21,2,3140,1,9,3,8,0,0,Urban,24.08,52,748000,0
3971,1,4,16,2,12506,2,1,6,1,0,0,Suburban,41.12,2,657000,1
3649,4,1,3,0,7730,1,5,3,9,1,0,Suburban,7.11,9,1111000,0
4051,2,1,47,2,12724,2,10,8,8,0,0,Suburban,43.03,22,1156000,0
4094,3,2,46,1,13772,1,9,5,1,0,0,Suburban,44.98,172,877000,0
3609,1,3,24,1,9465,3,4,2,10,1,0,Urban,47.39,4,832000,1
3289,3,1.5,20,1,11379,1,8,4,9,0,1,Suburban,20.48,103,880000,0
2431,4,2,36,0,6471,3,6,9,2,0,0,Urban,11.64,2,827000,1
3616,3,1,37,2,14940,3,3,4,3,0,1,Urban,19.31,,732000,1
1815,2,3,48,1,5339,2,4,10,2,0,1,Suburban,17.31,30,578000,0
2148,4,2,0,3,2548,2,2,10,8,1,0,Rural,9.63,4,740000,1
1315,4,3,24,2,9675,2,1,8,2,1,1,Suburban,30.76,5,575000,1
3887,2,3.5,50,1,14279,2,8,5,10,0,0,Urban,24.35,2,997000,1
3639,4,1.5,35,2,10264,1,1,10,2,0,0,Urban,43.42,48,639000,0
1135,5,3,16,3,,1,1,1,1,0,1,Suburban,2.57,4,403000,1
2582,2,1,40,2,13393,2,4,7,7,0,0,Rural,32.55,6,632000,1
3105,4,3,23,0,11973,2,10,3,2,0,1,Suburban,38.38,32,912000,0
1296,4,2.5,1,3,2571,2,10,10,10,0,0,Urban,38.21,2,889000,1
1695,3,3,39,2,2790,1,6,8,5,0,1,Suburban,44.42,44,497000,0
3007,2,1,14,1,11830,1,9,3,5,1,0,Rural,36.72,47,791000,0
4346,2,1.5,31,0,12023,1,1,1,3,0,1,Urban,46.46,92,728000,0
1651,5,2,38,2,12047,1,7,5,3,0,0,Suburban,17.3,53,612000,0
2487,6,2,5,1,3174,1,10,2,3,0,1,Suburban,25.66,109,890000,0
2731,4,1.5,0,2,13932,1,5,4,6,1,1,Urban,1.69,105,873000,0
3537,3,2,46,1,13469,1,8,1,4,0,0,Urban,1.34,,910000,1
3227,4,1.5,22,3,2178,2,7,9,3,0,1,Suburban,12.77,7,878000,1
2368,4,2,38,2,4244,1,4,6,2,0,0,Urban,5.94,4,643000,1
1756,3,3,16,1,6086,2,4,8,3,1,1,Urban,13.75,76,707000,0
3538,2,2,33,1,2734,1,6,4,,0,0,Suburban,9.68,1,738000,1
4298,4,1,40,2,8232,2,6,9,,1,1,Urban,2.4,2,1206000,1
2436,3,2,28,2,2798,2,9,2,4,1,1,Suburban,45.56,7,777000,1
