track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity
Fire Wave,Artist_46,Classical,Travel,0.61,0.862,0.391,84.15,347099,15
Dance Love,Artist_24,Bollywood,Sleep,0.313,0.181,0.4,126.82,306256,46
Beat Love Night,Artist_2,Classical,Romantic,0.271,0.544,0.765,114.13,320979,31
Beat Dance Dream,Artist_368,Indie,Sleep,0.598,0.951,0.499,84.96,143835,62
Light Sky,Artist_142,Hip-Hop,Travel,0.866,0.625,0.726,122.98,72695,34
Wave Night Beat,Artist_428,Country,Sleep,0.947,0.817,0.505,119.06,150296,36
Love Dream,Artist_129,Jazz,Travel,0.106,0.654,0.593,78.39,306248,44
Fire Dream,Artist_98,Classical,Chill,0.155,0.839,0.761,78.37,135793,63
Dance Wave,Artist_202,Rock,Party,0.945,0.944,0.607,150.65,355082,77
Sky Night Dance,Artist_129,Pop,Sleep,0.737,0.273,0.616,158.92,108013,18
Sky Beat Light,Artist_449,Bollywood,Sleep,0.883,0.17,0.789,191.77,333928,81
Dance Beat,Artist_111,Indie,Workout,0.203,0.484,0.949,72.18,124712,45
Dream Love Sky,Artist_201,Rock,Workout,0.588,0.702,0.377,76.5,303442,39
Night Beat Love,Artist_137,Pop,Focus,0.701,0.227,0.577,67.25,219300,92
Love Dance Wave,Artist_149,Pop,Party,0.68,0.004,0.086,134.51,84466,26
Dream Dance Light,Artist_129,Indie,Sleep,0.408,0.343,0.359,147.18,293791,78
Love Dream Heart,Artist_108,Country,Focus,0.015,0.969,0.412,116.49,316521,75
Heart Light,Artist_422,Classical,Sleep,0.583,0.695,0.835,171.71,328764,96
Light Night Dream,Artist_83,Classical,Chill,0.253,0.401,0.513,156.14,85924,24
Heart Wave,Artist_384,Hip-Hop,Romantic,0.45,0.193,0.731,198.02,303153,58
Dream Sky Light,Artist_399,Country,Travel,0.958,0.356,0.019,79.31,94857,95
Night Dance Beat,Artist_289,Hip-Hop,Travel,0.399,0.17,0.464,68.16,289609,50
Wave Dream Sky,Artist_414,Jazz,Romantic,0.84,0.106,0.901,98.47,208011,72
Heart Wave,Artist_407,Rock,Focus,0.189,0.907,0.224,62.67,283668,39
Night Love Light,Artist_215,Bollywood,Focus,0.672,0.998,0.032,190.57,135682,72
Fire Night,Artist_302,Classical,Sleep,0.977,0.164,0.433,102.55,206150,31
Dance Wave,Artist_48,Hip-Hop,Focus,0.102,0.055,0.704,137.34,249218,83
Fire Wave Night,Artist_130,Rock,Party,0.008,0.33,0.454,104.53,228786,36
Beat Wave,Artist_76,Hip-Hop,Focus,0.434,0.462,0.46,94.41,175684,39
Love Sky,Artist_81,Country,Sleep,0.093,0.205,0.67,81.33,322989,96
Love Night,Artist_354,Hip-Hop,Chill,0.748,0.301,0.254,104.85,352822,21
Heart Love Dream,Artist_390,Bollywood,Travel,0.915,0.201,0.752,146.16,126855,23
Night Dance Beat,Artist_473,EDM,Sleep,0.434,0.774,0.153,196.03,146037,54
Wave Light,Artist_363,Country,Workout,0.259,0.713,0.396,138.13,102670,36
Fire Sky,Artist_4,EDM,Focus,0.434,0.635,0.656,134.58,81487,15
Dance Sky Fire,Artist_324,Indie,Sleep,0.723,0.387,0.828,64.94,327657,2
Dream Beat,Artist_29,Pop,Focus,0.009,0.909,0.792,177.61,120842,76
Night Love,Artist_238,Hip-Hop,Travel,0.589,0.97,0.722,66.28,199716,70
Fire Love,Artist_323,Classical,Workout,0.613,0.174,0.359,186.87,225469,38
Love Heart,Artist_77,Country,Sleep,0.638,0.223,0.122,135.41,168756,65
Wave Light Night,Artist_85,Rock,Chill,0.242,0.526,0.217,83.59,178000,50
Dream Light Dance,Artist_471,Pop,Romantic,0.714,0.091,0.865,123.24,214592,90
Fire Dance,Artist_456,EDM,Chill,0.091,0.436,0.857,199.3,244941,87
Heart Light Dream,Artist_491,EDM,Chill,0.199,0.582,0.952,102.71,224398,1
Dance Beat,Artist_227,Indie,Focus,0.877,0.522,0.076,97.72,231910,21
Night Wave Dream,Artist_204,Rock,Focus,0.739,0.331,0.537,76.52,253383,57
Night Wave Dance,Artist_368,EDM,Sleep,0.014,0.542,0.649,143.6,103675,19
Love Light,Artist_257,Country,Travel,0.248,0.959,0.711,72.49,255151,29
Love Fire Sky,Artist_123,Classical,Focus,0.214,0.206,0.644,167.24,126604,50
Beat Heart Night,Artist_164,Jazz,Focus,0.271,0.655,0.77,188.69,313796,90
Sky Night,Artist_81,Classical,Party,0.248,0.043,0.359,190.46,233292,34
Light Wave,Artist_237,EDM,Party,0.063,0.066,0.179,75.11,333106,81
Beat Love Night,Artist_261,Bollywood,Sleep,0.459,0.552,0.205,138.16,256178,82
Sky Love Light,Artist_25,EDM,Workout,0.733,0.105,0.012,73.6,277594,54
Beat Sky Fire,Artist_434,Rock,Workout,0.607,0.022,0.35,140.08,264418,32
Love Dream Fire,Artist_322,Hip-Hop,Sleep,0.673,0.172,0.092,174.1,133532,4
Love Fire Dance,Artist_260,Jazz,Travel,0.081,0.565,0.321,135.29,338977,30
Wave Love,Artist_463,Classical,Travel,0.951,0.703,0.628,182.09,324057,95
Night Beat Wave,Artist_452,Jazz,Romantic,0.838,0.202,0.894,172.23,234829,18
Dream Sky Love,Artist_472,Classical,Party,0.805,0.668,0.84,98.72,294009,69
Love Dance,Artist_229,Classical,Chill,0.823,0.182,0.253,148.21,180661,96
Heart Beat,Artist_472,Pop,Romantic,0.933,0.613,0.134,61.04,117076,29
Sky Fire Love,Artist_280,Indie,Focus,0.544,0.412,0.193,115.45,261936,12
Love Fire,Artist_164,Pop,Workout,0.2,0.654,0.971,93.31,111697,15
Love Light Dance,Artist_343,Country,Travel,0.617,0.995,0.549,191.2,284438,79
Beat Wave,Artist_247,Pop,Sleep,0.743,0.938,0.183,116.75,313646,99
Beat Wave,Artist_55,Bollywood,Sleep,0.738,0.004,0.841,151.57,163115,53
Night Dance,Artist_29,Jazz,Workout,0.521,0.885,0.395,162.48,130863,35
Wave Heart,Artist_309,Rock,Romantic,0.068,0.066,0.899,168.25,90118,52
Fire Heart Beat,Artist_469,Jazz,Chill,0.371,0.953,0.261,163.01,96229,53
Fire Wave,Artist_112,EDM,Travel,0.921,0.282,0.393,100.48,198605,14
Wave Love,Artist_97,Classical,Workout,0.584,0.382,0.505,156.05,255143,18
Beat Light,Artist_277,Jazz,Workout,0.538,0.092,0.893,136.86,258067,38
Love Fire,Artist_385,EDM,Chill,0.269,0.112,0.869,143.63,255895,86
Night Love,Artist_191,Indie,Travel,0.368,0.727,0.574,60.11,279474,38
Dance Dream,Artist_112,Country,Party,0.895,0.944,0.222,96.16,104178,55
Love Heart Light,Artist_21,Classical,Workout,0.666,0.611,0.403,190.3,303707,11
Sky Dream,Artist_8,EDM,Romantic,0.787,0.716,0.976,100.61,90411,67
Dance Night Light,Artist_23,Pop,Travel,0.454,0.762,0.608,121.32,119228,53
Sky Light,Artist_302,Indie,Chill,0.63,0.263,0.781,86.13,229370,78
Dance Heart,Artist_23,Jazz,Party,0.248,0.045,0.45,79.4,136057,44
Dance Sky,Artist_461,Rock,Travel,0.705,0.002,0.532,89.21,311469,25
Light Sky Fire,Artist_31,Hip-Hop,Sleep,0.428,0.351,0.429,137.51,132800,62
Heart Light Night,Artist_341,Country,Romantic,0.443,0.241,0.703,188.66,217858,14
Heart Beat,Artist_217,Hip-Hop,Chill,0.649,0.062,0.851,105.67,237588,47
Sky Night Fire,Artist_109,Rock,Focus,0.936,0.18,0.507,105.28,116515,95
Light Fire,Artist_325,Rock,Travel,0.064,0.124,0.481,138.98,128297,89
Light Fire Night,Artist_500,Rock,Travel,0.825,0.915,0.34,109.94,117379,55
Dream Love Fire,Artist_72,Hip-Hop,Workout,0.292,0.14,0.177,187.46,205373,83
Dance Night Love,Artist_176,Bollywood,Focus,0.444,0.538,0.939,112.9,175157,12
Love Sky Light,Artist_264,Classical,Chill,0.022,0.593,0.316,128.66,265108,7
Sky Night Love,Artist_375,Hip-Hop,Travel,0.301,0.543,0.801,134.67,262625,49
Wave Beat Dance,Artist_441,Rock,Travel,0.503,0.099,0.715,169.49,132383,14
Beat Wave,Artist_218,Country,Chill,0.056,0.319,0.791,138.95,76674,29
Love Fire Light,Artist_331,Rock,Sleep,0.491,0.051,0.937,93.48,297426,47
Dream Beat Love,Artist_491,EDM,Workout,0.927,0.396,0.623,77.36,228367,14
Love Light Heart,Artist_244,Classical,Chill,0.105,0.189,0.898,191.29,148709,87
Wave Heart,Artist_478,Classical,Workout,0.764,0.562,0.168,172.22,244824,51
Wave Fire Love,Artist_229,Indie,Travel,0.41,0.693,0.627,63.22,224512,14
Wave Beat Light,Artist_453,Country,Workout,0.655,0.532,0.772,175.01,209034,87
Night Light,Artist_170,Country,Focus,0.26,0.434,0.272,142.68,274424,8
Sky Light Dance,Artist_146,Jazz,Focus,0.159,0.387,0.741,132.65,330376,77
Wave Light Sky,Artist_207,Indie,Focus,0.16,0.842,0.778,61.71,326623,65
Beat Dance,Artist_190,Indie,Party,0.07,0.219,0.831,169.32,144853,37
Dream Love,Artist_283,Pop,Focus,0.186,0.734,0.313,87.73,242039,90
Sky Night Fire,Artist_212,Indie,Travel,0.664,0.757,0.682,161.92,228118,68
Heart Beat Love,Artist_62,Pop,Party,0.882,0.419,0.304,62.22,148827,16
Heart Sky Light,Artist_246,EDM,Workout,0.814,0.297,0.739,171.49,241287,89
Night Sky,Artist_85,Pop,Sleep,0.685,0.471,0.463,63.23,297902,83
Sky Dream Dance,Artist_284,Indie,Romantic,0.11,0.093,0.598,93.03,253087,20
Love Dance Wave,Artist_337,Pop,Party,0.289,0.046,0.416,97.56,150012,90
Love Heart Dance,Artist_159,EDM,Focus,0.31,0.112,0.162,82.05,143028,96
Beat Love,Artist_494,Pop,Romantic,0.25,0.187,0.178,127.35,176274,67
Sky Light,Artist_237,Bollywood,Sleep,0.515,0.504,0.078,99.72,126648,71
Night Dance Dream,Artist_335,Hip-Hop,Romantic,0.536,0.849,0.618,199.06,168762,32
Sky Wave Dance,Artist_15,Bollywood,Focus,0.357,0.236,0.849,141.2,207805,69
Fire Dream,Artist_124,Jazz,Travel,0.354,0.935,0.021,139.31,227802,85
Wave Love,Artist_149,Hip-Hop,Travel,0.829,0.955,0.066,90.92,274915,30
Night Love,Artist_141,Indie,Romantic,0.789,0.959,0.457,117.22,302068,20
Light Dance,Artist_412,Bollywood,Focus,0.308,0.838,0.738,77.36,149979,58
Love Light Fire,Artist_216,Hip-Hop,Romantic,0.914,0.364,0.158,166.75,313725,29
Sky Wave,Artist_327,Classical,Romantic,0.953,0.073,0.272,106.36,256650,24
Heart Light,Artist_111,Jazz,Romantic,0.327,0.569,0.232,165.28,301113,1
Wave Fire,Artist_113,Hip-Hop,Party,0.354,0.559,0.399,112.04,262485,89
Night Wave Dance,Artist_95,Bollywood,Party,0.506,0.85,0.225,198.43,217953,27
Light Night,Artist_365,EDM,Sleep,0.941,0.996,0.353,83.96,337662,89
Fire Heart,Artist_147,Indie,Romantic,0.876,0.508,0.729,60.21,239758,21
Beat Night Wave,Artist_420,Hip-Hop,Travel,0.103,0.345,0.611,143.28,306611,17
Dream Love Heart,Artist_194,Pop,Travel,0.393,0.186,0.081,193.41,92344,92
Heart Beat Wave,Artist_182,Indie,Travel,0.553,0.005,0.638,150.59,106069,32
Sky Love Dream,Artist_333,Country,Focus,0.503,0.509,0.477,72.0,106273,44
Love Sky Dream,Artist_404,Pop,Romantic,0.194,0.556,0.935,135.67,241510,98
Night Fire,Artist_498,Classical,Travel,0.859,0.825,0.289,187.33,202632,22
Light Wave Heart,Artist_390,Indie,Party,0.677,0.505,0.726,60.91,141396,42
Beat Love,Artist_344,Pop,Focus,0.838,0.916,0.731,83.37,309450,83
Beat Night,Artist_212,Indie,Travel,0.859,0.628,0.222,174.04,110200,62
Fire Light,Artist_439,Country,Romantic,0.748,0.84,0.903,185.15,242839,48
Light Night Love,Artist_443,Jazz,Focus,0.439,0.148,0.491,159.0,344641,8
Light Wave Dance,Artist_271,Indie,Workout,0.611,0.855,0.679,198.82,94869,2
Sky Fire Wave,Artist_146,Country,Workout,0.16,0.675,0.146,72.63,273151,5
Heart Fire,Artist_481,Indie,Party,0.674,0.17,0.258,136.39,327712,28
Fire Dance Heart,Artist_422,Indie,Sleep,0.179,0.19,0.586,155.9,341196,4
Fire Dance,Artist_395,EDM,Romantic,0.694,0.927,0.319,158.37,188953,53
Heart Night Wave,Artist_34,Hip-Hop,Workout,0.23,0.032,0.5,171.09,104013,1
Heart Dance,Artist_172,Jazz,Focus,0.118,0.463,0.374,188.47,292756,79
Dance Beat,Artist_152,Bollywood,Romantic,0.165,0.313,0.641,110.63,341643,77
Wave Dream,Artist_384,Jazz,Sleep,0.002,0.665,0.487,66.01,281384,95
Beat Dream,Artist_211,Bollywood,Party,0.719,0.84,0.005,110.74,61307,81
Sky Heart Light,Artist_377,Rock,Focus,0.732,0.36,0.65,154.03,344087,6
Night Beat,Artist_103,Country,Workout,0.515,0.427,0.422,89.88,318041,88
Light Dream Dance,Artist_171,Classical,Travel,0.161,0.982,0.342,173.4,135497,55
Dream Dance,Artist_62,EDM,Sleep,0.084,0.784,0.094,90.77,276247,52
Dream Night,Artist_239,Classical,Romantic,0.019,0.897,0.22,61.41,95362,77
Sky Light Dance,Artist_161,Classical,Workout,0.166,0.439,0.224,131.13,315890,85
Dream Love,Artist_254,Rock,Focus,0.891,0.234,0.935,161.7,208688,24
Love Dream Night,Artist_105,Country,Romantic,0.242,0.412,0.433,108.95,64967,62
Light Wave,Artist_161,Jazz,Travel,0.354,0.716,0.042,164.85,101534,56
Beat Heart Dream,Artist_499,Country,Chill,0.105,0.109,0.139,121.38,76465,86
Light Fire Sky,Artist_388,EDM,Sleep,0.222,0.27,0.079,84.04,182902,93
Heart Wave,Artist_35,Indie,Chill,0.519,0.047,0.589,72.68,137718,24
Love Night,Artist_419,Hip-Hop,Travel,0.608,0.432,0.187,159.48,79929,76
Dance Beat Wave,Artist_264,Country,Travel,0.245,0.827,0.499,114.0,172623,20
Sky Dance Dream,Artist_188,Hip-Hop,Romantic,0.058,0.025,0.37,187.79,344974,34
Wave Light,Artist_56,Bollywood,Sleep,0.391,0.675,0.804,135.64,277293,15
Dream Love,Artist_404,Hip-Hop,Party,0.234,0.932,0.32,108.78,76478,51
Dance Beat Heart,Artist_374,Pop,Workout,0.22,0.237,0.458,108.86,177210,4
Dream Light Sky,Artist_432,Rock,Workout,0.96,0.694,0.721,78.4,125086,53
Fire Sky,Artist_256,Bollywood,Romantic,0.616,0.975,0.433,143.13,189174,14
Heart Love Beat,Artist_203,EDM,Sleep,0.557,0.962,0.793,141.5,338132,65
Heart Beat Wave,Artist_292,Rock,Travel,0.416,0.235,0.662,172.0,332585,33
Dream Love,Artist_346,EDM,Sleep,0.429,0.1,0.411,88.17,286222,50
Beat Light,Artist_198,EDM,Travel,0.541,0.148,0.504,100.71,75609,63
Wave Heart Night,Artist_184,Hip-Hop,Sleep,0.696,0.702,0.967,73.61,194742,50
Sky Dream Night,Artist_361,Indie,Travel,0.702,0.726,0.662,101.35,135073,93
Sky Dance Light,Artist_419,Classical,Chill,0.172,0.674,0.905,119.93,81028,74
Dream Sky,Artist_290,Indie,Chill,0.5,0.336,0.179,194.96,304709,36
Wave Night Fire,Artist_185,Country,Sleep,0.412,0.17,0.483,151.43,284421,78
Dream Night Fire,Artist_468,Indie,Focus,0.871,0.581,0.909,169.6,212913,86
Love Wave,Artist_297,Rock,Travel,0.631,0.484,0.323,105.57,203650,97
Love Dance,Artist_210,EDM,Romantic,0.533,0.729,0.968,80.23,129739,92
Heart Fire,Artist_168,EDM,Focus,0.115,0.441,0.097,95.94,108617,71
Wave Beat Dance,Artist_405,Jazz,Focus,0.606,0.339,0.903,95.91,253716,50
Dance Sky,Artist_211,Jazz,Romantic,0.117,0.293,0.445,141.64,308856,41
Night Dance,Artist_7,Jazz,Sleep,0.337,0.211,0.074,107.81,321270,98
Dance Sky Night,Artist_22,Rock,Focus,0.143,0.266,0.88,180.04,327528,70
Sky Night,Artist_403,Indie,Romantic,0.692,0.095,0.252,198.4,291626,99
Night Fire Wave,Artist_476,Jazz,Travel,0.206,0.347,0.022,108.06,282682,27
Dream Light Heart,Artist_328,Rock,Romantic,0.392,0.037,0.136,158.71,219907,30
Dance Light Night,Artist_472,Jazz,Romantic,0.896,0.186,0.659,152.05,343553,32
Love Beat Night,Artist_394,Classical,Romantic,0.204,0.747,0.978,87.22,77676,83
Fire Light Love,Artist_471,Indie,Party,0.508,0.325,0.111,188.52,220950,22
Fire Dream,Artist_476,EDM,Chill,0.419,0.668,0.462,87.92,254477,85
Fire Wave Sky,Artist_118,Bollywood,Workout,0.018,0.717,0.181,163.17,195347,69
Dream Dance Wave,Artist_362,Rock,Workout,0.793,0.581,0.745,108.67,199035,21
Sky Dream Fire,Artist_113,Bollywood,Chill,0.069,0.959,0.118,111.39,259253,56
Light Fire,Artist_230,Rock,Chill,0.474,0.021,0.24,123.76,166967,84
Beat Night,Artist_381,Indie,Focus,0.561,0.739,0.196,181.03,264445,31
Light Fire Dream,Artist_162,Bollywood,Sleep,0.628,0.959,0.553,79.64,120965,59
Beat Sky,Artist_79,EDM,Party,0.689,0.862,0.873,67.64,281715,70
Wave Fire Heart,Artist_94,Pop,Workout,0.253,0.168,0.511,116.29,168485,95
Light Dream Sky,Artist_292,Hip-Hop,Travel,0.01,0.327,0.058,67.78,133061,43
Sky Dance,Artist_432,Rock,Chill,0.723,0.172,0.563,156.26,118318,88
Beat Heart Dance,Artist_203,Pop,Workout,0.536,0.601,0.798,166.45,216622,54
Night Fire Wave,Artist_378,Pop,Party,0.836,0.712,0.132,179.66,97087,18
Beat Dance Heart,Artist_140,Pop,Chill,0.821,0.317,0.073,164.14,186861,55
Beat Night,Artist_265,Hip-Hop,Party,0.843,0.54,0.188,188.29,66953,29
Dance Heart,Artist_132,Indie,Workout,0.485,0.691,0.746,164.76,154266,61
Heart Beat,Artist_327,Country,Workout,0.334,0.421,0.592,191.05,307267,51
Dance Wave,Artist_72,Bollywood,Party,0.792,0.854,0.541,87.04,98739,76
Fire Love Sky,Artist_46,Classical,Sleep,0.451,0.772,0.249,129.98,188020,12
Light Fire Beat,Artist_5,EDM,Chill,0.183,0.065,0.332,199.15,166879,93
Light Heart,Artist_289,Country,Workout,0.855,0.621,0.966,155.42,84987,61
Heart Beat Light,Artist_82,Indie,Travel,0.883,0.235,0.241,183.01,178064,71
Beat Wave Sky,Artist_95,Pop,Focus,0.466,0.558,0.902,64.26,328182,16
Sky Dance,Artist_498,Pop,Focus,0.076,0.957,0.581,182.05,62775,12
Heart Love,Artist_455,EDM,Party,0.388,0.879,0.123,157.68,127819,62
Dance Beat Fire,Artist_66,Rock,Sleep,0.804,0.405,0.467,83.91,77046,85
Light Fire,Artist_167,Hip-Hop,Workout,0.902,0.292,0.949,63.6,101181,68
Wave Heart,Artist_48,EDM,Sleep,0.203,0.234,0.419,96.39,191823,60
Wave Light,Artist_375,Jazz,Chill,0.067,0.533,0.863,188.21,108736,81
Love Beat,Artist_136,Country,Chill,0.877,0.114,0.256,153.54,253329,28
Heart Wave,Artist_174,Pop,Party,0.389,0.549,0.571,188.73,103096,64
Love Light,Artist_181,Bollywood,Chill,0.542,0.001,0.844,122.46,275365,95
Heart Light,Artist_246,Jazz,Sleep,0.968,0.324,0.921,191.13,136061,72
Dream Light,Artist_470,Rock,Romantic,0.067,0.22,0.486,124.81,84790,50
Fire Sky Dream,Artist_301,Pop,Party,0.648,0.971,0.64,88.6,175683,26
Heart Beat Fire,Artist_325,EDM,Romantic,0.074,0.727,0.003,81.2,220839,40
Love Wave,Artist_189,Jazz,Party,0.375,0.35,0.253,199.13,327471,55
Light Night,Artist_430,Indie,Focus,0.804,0.093,0.279,106.74,289109,31
Dance Love Dream,Artist_369,Bollywood,Focus,0.433,0.517,0.093,82.41,291040,83
Sky Love Fire,Artist_102,Jazz,Workout,0.997,0.213,0.28,61.18,249397,71
Love Sky,Artist_233,Hip-Hop,Chill,0.559,0.536,0.321,99.98,240625,5
Beat Wave,Artist_329,Country,Travel,0.321,0.835,0.969,184.48,117225,13
Sky Night,Artist_67,Indie,Travel,0.22,0.616,0.669,134.76,249321,18
Night Light,Artist_118,Hip-Hop,Sleep,0.351,0.634,0.426,148.54,334788,82
Love Wave Dream,Artist_249,Indie,Romantic,0.373,0.541,0.988,189.13,139163,50
Wave Beat,Artist_204,Classical,Focus,0.069,0.927,0.153,131.8,312917,84
Wave Sky,Artist_212,Bollywood,Sleep,0.37,0.932,0.476,177.36,131410,87
Beat Light Love,Artist_24,Hip-Hop,Travel,0.464,0.513,0.647,105.34,318047,36
Sky Dance Fire,Artist_140,Hip-Hop,Workout,0.723,0.306,0.056,196.79,323250,52
Sky Dance,Artist_36,Bollywood,Workout,0.657,0.46,0.717,71.03,270501,33
Sky Beat Night,Artist_146,Country,Romantic,0.709,0.187,0.1,161.48,199491,64
Beat Light,Artist_74,Indie,Party,0.008,0.636,0.14,152.48,289035,71
Dance Sky Fire,Artist_480,EDM,Sleep,0.218,0.5,0.16,86.83,176676,69
Love Dance Beat,Artist_220,Jazz,Travel,0.662,0.103,0.929,114.44,100908,96
Light Night Dance,Artist_158,Rock,Travel,0.484,0.198,0.683,103.8,82755,73
Wave Love,Artist_110,Rock,Romantic,0.005,0.48,0.655,73.23,306203,30
Fire Dance Heart,Artist_30,EDM,Chill,0.804,0.888,0.555,141.87,232646,96
Wave Night Sky,Artist_95,Hip-Hop,Sleep,0.773,0.566,0.293,199.11,88356,68
Dream Night Light,Artist_317,Classical,Travel,0.548,0.682,0.621,138.34,173526,89
Fire Dance,Artist_434,Jazz,Romantic,0.066,0.339,0.41,136.34,306584,22
Night Dream,Artist_242,Country,Focus,0.767,0.571,0.145,65.64,137260,59
Wave Dance Fire,Artist_24,Indie,Workout,0.584,0.447,0.69,79.49,331271,8
Dance Sky,Artist_280,Hip-Hop,Party,0.782,0.659,0.13,131.85,201950,66
Sky Heart Dream,Artist_40,Pop,Sleep,0.752,0.051,0.191,197.92,294313,37
Heart Beat,Artist_113,Indie,Party,0.803,0.493,0.818,182.73,123041,99
Sky Fire,Artist_405,EDM,Chill,0.518,0.296,0.66,107.63,324349,56
Light Dance Heart,Artist_250,Indie,Romantic,0.14,0.326,0.631,136.02,84401,61
Heart Dance,Artist_80,Jazz,Focus,0.671,0.961,0.418,137.38,93314,86
Light Wave Night,Artist_92,Rock,Romantic,0.62,0.183,0.396,155.95,185748,65
Beat Night,Artist_303,Classical,Focus,0.742,0.311,0.69,156.29,281350,42
Dream Love Wave,Artist_287,Classical,Focus,0.17,0.51,0.74,170.57,127605,97
Dream Fire,Artist_74,Classical,Workout,0.195,0.863,0.51,63.5,115362,49
Night Love Beat,Artist_63,Classical,Chill,0.89,0.417,0.969,192.12,116005,68
Dream Light Dance,Artist_9,Rock,Travel,0.75,0.744,0.956,69.81,156867,9
Light Beat,Artist_318,Bollywood,Sleep,0.908,0.856,0.412,126.66,220591,8
Love Sky Night,Artist_399,Classical,Romantic,0.759,0.31,0.821,188.74,243159,58
Sky Wave Heart,Artist_103,EDM,Focus,0.597,0.393,0.543,128.27,354928,86
Wave Dream Light,Artist_186,Bollywood,Focus,0.654,0.357,0.512,68.91,324953,54
Light Fire Heart,Artist_327,Hip-Hop,Focus,0.889,0.833,0.055,92.09,301918,85
Dance Wave Fire,Artist_388,Classical,Focus,0.579,0.044,0.574,141.01,330663,48
Dream Wave Dance,Artist_77,Jazz,Chill,0.632,0.308,0.901,72.3,309211,54
Heart Beat,Artist_160,Country,Workout,0.156,0.679,0.78,119.31,294968,28
Dream Dance,Artist_457,Classical,Travel,0.474,0.565,0.786,106.07,203535,66
Love Sky,Artist_344,Pop,Sleep,0.716,0.436,0.16,174.13,205720,81
Fire Night,Artist_98,Hip-Hop,Chill,0.271,0.54,0.358,75.42,250798,31
Heart Night Love,Artist_311,Indie,Party,0.202,0.198,0.233,155.59,145370,13
Wave Dream Night,Artist_79,Indie,Party,0.314,0.431,0.316,116.92,296419,59
Light Fire Heart,Artist_86,Rock,Travel,0.242,0.502,0.58,142.29,193820,82
Fire Sky,Artist_311,EDM,Party,0.215,0.901,0.365,88.77,278251,88
Beat Sky Heart,Artist_327,Indie,Focus,0.425,0.261,0.561,145.36,307566,31
Sky Light Fire,Artist_190,Jazz,Sleep,0.908,0.868,0.439,154.36,155516,33
Wave Dream,Artist_17,Bollywood,Workout,0.507,0.644,0.287,69.83,233398,53
Fire Sky,Artist_45,Country,Party,0.188,0.02,0.095,175.41,263020,95
Sky Night,Artist_367,EDM,Travel,0.077,0.725,0.892,180.58,152965,91
Light Beat,Artist_345,Pop,Chill,0.696,0.036,0.011,68.9,133913,36
Wave Sky Dance,Artist_342,Indie,Sleep,0.383,0.997,0.002,144.45,216414,85
Dream Love,Artist_484,Pop,Workout,0.822,0.873,0.827,143.16,118989,69
Fire Night,Artist_479,EDM,Party,0.66,0.297,0.997,61.74,100708,75
Dream Wave,Artist_157,Rock,Travel,0.796,0.257,0.727,107.93,350305,98
Love Heart Night,Artist_291,Country,Chill,0.272,0.381,0.015,195.65,164169,34
Dream Light,Artist_202,Hip-Hop,Travel,0.692,0.356,0.227,137.76,208253,61
Beat Dance Heart,Artist_460,EDM,Romantic,0.264,0.372,0.972,190.65,214722,60
Light Night Fire,Artist_69,Rock,Travel,0.939,0.318,0.809,154.59,312534,3
Beat Wave Dance,Artist_286,Rock,Chill,0.636,0.621,0.567,63.97,252521,6
Sky Light Heart,Artist_134,Pop,Travel,0.325,0.164,0.237,70.88,344880,20
Wave Fire,Artist_14,Jazz,Party,0.27,0.846,0.014,161.11,135387,4
Sky Dream,Artist_236,Rock,Romantic,0.191,0.812,0.021,137.64,354949,53
Light Dance Wave,Artist_413,Country,Sleep,0.695,0.476,0.612,77.8,291354,71
Night Light Beat,Artist_222,Bollywood,Sleep,0.219,0.853,0.022,145.97,74429,62
Dream Love Heart,Artist_347,Indie,Travel,0.595,0.247,0.994,173.44,206664,81
Heart Beat Fire,Artist_331,Hip-Hop,Romantic,0.265,0.018,0.183,165.42,124139,38
Beat Heart,Artist_342,Pop,Sleep,0.662,0.619,0.711,94.46,234761,36
Love Fire,Artist_303,Indie,Romantic,0.815,0.458,0.155,96.15,295617,34
Heart Light Fire,Artist_415,EDM,Travel,0.778,0.567,0.54,195.5,260062,6
Wave Sky,Artist_169,Rock,Sleep,0.761,0.899,0.081,184.24,294050,66
Night Heart Sky,Artist_102,Classical,Party,0.188,0.97,0.767,104.57,161664,18
Wave Sky,Artist_309,Classical,Chill,0.088,0.634,0.585,175.37,162602,27
Sky Dance,Artist_28,EDM,Workout,0.699,0.764,0.086,82.64,106567,39
Love Sky Light,Artist_472,Bollywood,Chill,0.368,0.084,0.849,87.56,63475,51
Wave Love,Artist_280,Bollywood,Sleep,0.432,0.161,0.547,85.37,112529,19
Wave Dance Light,Artist_240,Rock,Workout,0.031,0.733,0.922,72.28,343569,96
Dance Light,Artist_276,Bollywood,Workout,0.26,0.431,0.917,179.65,236745,88
Love Heart,Artist_479,Bollywood,Romantic,0.034,0.446,0.921,141.03,296673,34
Wave Dream,Artist_109,Indie,Sleep,0.879,0.309,0.078,96.25,303460,89
Dream Night,Artist_338,Bollywood,Party,0.243,0.607,0.121,178.81,75169,24
Night Love Dance,Artist_337,Pop,Romantic,0.557,0.185,0.988,172.37,306899,25
Heart Night,Artist_151,Rock,Workout,0.039,0.627,0.488,74.13,129769,76
Fire Love Heart,Artist_385,EDM,Party,0.667,0.174,0.238,150.18,62462,94
Dream Heart Love,Artist_256,Pop,Workout,0.323,0.064,0.77,161.06,341760,70
